#Table1
objid,ra,dec,z
1237648703514411226,208.737876965778,-0.660098783876182,0.08791664
1237648703514607736,209.090701918294,-0.656281418216022,0.07908808
1237648703514673354,209.265845534565,-0.814669743355416,0.06943162
1237648703514673375,209.288637869212,-0.644143632469747,0.07006504
1237648703514673382,209.293640075593,-0.832521517428788,0.08909858
1237648703514738879,209.429153327672,-0.76259171019562,0.02961222
1237648703514738930,209.486703770612,-0.666855747316217,0.06956718
1237648703514804436,209.589670756069,-0.625216818132388,0.02760433
1237648675071460094,249.479311878075,0.79597771764627,0.08474916
1237648675603153235,237.649480632532,1.12996854316495,0.08897925
1237648675603284221,237.929171492867,1.13460247119238,0.08769272
1237648675603284401,237.927604249963,1.15488401449068,0.08945534
1237648675603677570,238.889882877775,1.20231450034743,0.06984673
1237648675603808635,239.15138455562,1.06863771134874,0.04958897
1237648675603808687,239.175064212082,1.06785072355811,0.05020094
1237648675603874096,239.284388586155,1.08705538399252,0.03276557
1237648675603939394,239.409240854992,1.09008012852862,0.09217949
1237648675604267318,240.176249712123,1.14952373800928,0.06800771
1237648675604463996,240.597023753011,1.19663946440624,0.06836636
1237648675604660569,241.079456201863,1.1385168226917,0.04806982
1237648675604987914,241.766474543155,1.10819243999878,0.02725771
1237648675604988405,241.852654857948,1.13841484363252,0.05667758
1237648675605053923,242.032774690535,1.08536356748174,0.0244775
1237648675605119332,242.104730406433,1.10736196643851,0.08144762
1237648675605119520,242.186566640871,1.07892854544347,0.0277606
1237648675605119699,242.103892401446,1.13532098806702,0.05574461
1237648675605184926,242.273332856091,1.0829775692964,0.05533386
1237648675605250186,242.438397490384,1.17187636394415,0.05555231
1237648675605250531,242.451059751996,1.08957908403602,0.05591223
1237648675605316104,242.591052592067,1.24363458496336,0.05762954
1237648675605381419,242.690510111464,1.21506587557357,0.02796681
1237648675605381513,242.72789935381,1.12073441011181,0.05804155
1237648675605774871,243.624402903415,1.16759755084609,0.0286315
1237648675605840386,243.794163658051,1.1659122579676,0.02809832
1237648675605905876,243.896289665695,1.16107712730778,0.07942327
1237648675605971564,244.105990249417,1.25443666276553,0.085917
1237648675606036798,244.163171529857,1.20776656809694,0.05537476
1237648675606167707,244.493573868857,1.15513866632918,0.05902028
1237648675606167925,244.45636020883,1.16177485962072,0.05877787
1237648675606233552,244.641485947477,1.25078593882786,0.05765377
1237648675606233649,244.693469093976,1.20067893308518,0.05813755
1237648675606233743,244.735297719392,1.18417872339398,0.05805147
1237648675606430099,245.086634223551,1.22843622774763,0.03223962
1237648675606495770,245.240442254928,1.19739960663474,0.08652647
1237648675606691884,245.663603112504,1.24761754062745,0.02452652
1237648675606691936,245.691205489464,1.24375842226671,0.02442459
1237648675606823483,245.966798120916,1.22414821693753,0.09119939
1237648675606888954,246.115406205263,1.1627575847621,0.08569978
1237648675606954669,246.337226204994,1.24357369804546,0.04765368
1237648675608330665,249.393411840615,1.18913807206795,0.09111653
1237648702964957305,180.017454632059,-1.10790532863084,0.07435275
1237648702966530213,183.473996408824,-1.23142863029173,0.08193589
1237648702966530252,183.526204891744,-1.16399075479358,0.07057208
1237648702966530271,183.566816096543,-1.13587774148867,0.0996795
1237648702966530273,183.570657701474,-1.09161621276652,0.0831765
1237648702966661167,183.82603360258,-1.1098458945744,0.07594268
1237648702966661296,183.901898419851,-1.17398092530235,0.07562031
1237648702966726812,183.969398862131,-1.20398936150361,0.0795421
1237648702966792270,184.071996248458,-1.16267420600358,0.08940969
1237648702966792310,184.152964310552,-1.08233966684496,0.02136928
1237648702966792419,184.077316365094,-1.06923175763648,0.03146952
1237648702966923367,184.440571323346,-1.19924847317973,0.07009142
1237648702966923474,184.388030181177,-1.19313310179722,0.07794146
1237648702966988820,184.535643327678,-1.06411290806298,0.01902536
1237648702967054406,184.70617035818,-1.23694713440626,0.06989451
1237648702967119953,184.830972407507,-1.12277328242766,0.07097115
1237648702967119996,184.944258627579,-1.19994139037067,0.08496574
1237648702967447632,185.621622249483,-1.1441403788219,0.08071183
1237648702967447657,185.6353503827,-1.20989665972918,0.04931947
1237648702967447665,185.642593627688,-1.1698133876986,0.06181338
1237648702967447679,185.686641961844,-1.13703829065859,0.06637767
1237648702967840884,186.477723648574,-1.13339757191085,0.0486598
1237648702967840928,186.541916699104,-1.15646980907093,0.04202126
1237648702967906488,186.734973059826,-1.20011733816616,0.07237981
1237648702967971957,186.762215856573,-1.20676033606978,0.07218131
1237648702968103043,187.086350454125,-1.06759253445683,0.0803081
1237648702968103061,187.111328480527,-1.12886667341044,0.07249907
1237648702968103193,187.071884610598,-1.11583127172028,0.03258956
1237648702968103259,187.174640904003,-1.14374811790968,0.04270654
1237648702968168664,187.279708844574,-1.19337922583755,0.0320312
1237648702968168681,187.318334219882,-1.06205109825887,0.08042388
1237648702968234250,187.499496553808,-1.20770979440269,0.08134889
1237648702968234251,187.494543351267,-1.21027405234003,0.08054847
1237648702968299615,187.531721290504,-1.1597015078432,0.07150065
1237648702968299636,187.554510320213,-1.12720491993821,0.07169601
1237648702968299669,187.592744913079,-1.15335771257759,0.09209978
1237648702968299680,187.641325200613,-1.23666661604631,0.08057746
1237648702968430779,187.948212902426,-1.05807345025048,0.08321483
1237648702968561790,188.195704933876,-1.16094693027758,0.09205253
1237648702968561805,188.210431327879,-1.06043109747528,0.07196455
1237648702968758479,188.659916674428,-1.1233881693386,0.09138028
1237648702968758495,188.704665801622,-1.0765988184765,0.09154467
